name,node_id,zone_id,x_coord,y_coord,district_id
,1,1,-96.77041974,43.61282792,1
,2,2,-96.71125063,43.60581298,2
,3,3,-96.77430341,43.5729616,
,4,4,-96.74716843,43.56365362,
,5,5,-96.73156909,43.56403357,
,6,6,-96.71164389,43.58758553,
,7,7,-96.69342281,43.5638436,
,8,8,-96.71138171,43.56232379,
,9,9,-96.73124137,43.54859634,
,10,10,-96.73143801,43.54527088,
,11,11,-96.74684071,43.54413068,
,12,12,-96.78013678,43.54394065,
,13,13,-96.79337655,43.49070718,
,14,14,-96.75103549,43.52930613,
,15,15,-96.73150355,43.52940117,
,16,16,-96.71138171,43.54674361,
,17,17,-96.71138171,43.54128009,
,18,18,-96.69407825,43.54674361,
,19,19,-96.71131617,43.52959125,
,20,20,-96.71118508,43.5153335,
,21,21,-96.7309792,43.51048509,
,22,22,-96.73124137,43.51485818,
,23,23,-96.75090441,43.51485818,
,24,24,-96.74920028,43.50316422,
